,time,hood,title,url,price,bedroom_count,sqft
30,2020-12-01 21:15, (lower nob hill),Spacious Remodeled One Bedroom Apartment/940 Post St,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-spacious-remodeled-one/7240281976.html,2150,1,
31,2020-12-01 21:03, (north beach / telegraph hill),"$1,600 / 1BR Month2Month Rental Fully Furnished - in 3BR, 2BA Apt",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-br-month2month-rental/7240281943.html,1600,1,
32,2020-12-01 20:57, (San Francisco),big 1 bedroom unit in Saint Francis Wood,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-big-bedroom-unit-in-saint/7240280641.html,1950,1,
33,2020-12-01 20:54, (nob hill),Beautiful large remodeled studio in great Nob Hill location,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-beautiful-large-remodeled/7240278193.html,1795,,
34,2020-12-01 20:53, (nob hill),Gramercy Towers- Top of Line Studio *1177 California*Picturesque View*,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gramercy-towers-top-of/7240279682.html,2100,,
35,2020-12-01 20:50, (mission district),1 BEDROOM 1 BADROOM APARTMENT TOP FLOOR 2100,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom-badroom-apartment/7240278875.html,2100,1,
36,2020-12-01 20:49, (lower nob hill),Small Studio with utilities included **1 Month free**,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-small-studio-with/7240278791.html,1445,,
37,2020-12-01 20:49, (sunset / parkside),"Bright, clean small ground floor studio apartment",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bright-clean-small-ground/7240278587.html,1200,,200.0
38,2020-12-01 20:48, (Cliff House),Ocean....Ocean.....Ocean Front Condo,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-oceanoceanocean-front/7240278428.html,1688,1,
39,2020-12-01 20:47, (lower nob hill),"Studio w/Hardwood Flr, Walk In Closet and Bay Window",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-hardwood-flr-walk/7240278068.html,1975,,325.0
40,2020-12-01 20:42, (Lone Mountain),"3D Virtual Tour - 1 BR, 1 BA Apartment 837 Sq. Ft. - Parking",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-3d-virtual-tour-br-ba/7240276930.html,2280,1,837.0
41,2020-12-01 20:34, (haight ashbury),Studio with a BRAND NEW kitchen & bathroom,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-with-brand-new/7240274974.html,1499,,
42,2020-12-01 20:32, (inner richmond),Top floor 1BR/1BA APT in Inner Richmond District,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-1br-1ba-apt-in/7225148892.html,2175,1,
43,2020-12-01 20:29, (hayes valley),Studio in Charming Hayes Valley Neighborhood Apt. 38,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-in-charming-hayes/7234432643.html,1850,,450.0
44,2020-12-01 20:29, (hayes valley),Studio in Charming Hayes Valley Neighborhood Apt. 26,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-in-charming-hayes/7234436166.html,1850,,450.0
45,2020-12-01 20:26, (SOMA / south beach),**NEWLY RENOVATED STUDIO with Great Floor Plan!**,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-newly-renovated-studio/7226217589.html,1880,,350.0
46,2020-12-01 20:19, (nob hill),Studio Downtown Make Appt. to View,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-studio-downtown-make-appt/7233659365.html,1595,,450.0
47,2020-12-01 20:16, (glen park),"Private, bright BEDROOM in 3 bedroom flat",https://sfbay.craigslist.org/sfc/apa/d/san-francisco-private-bright-bedroom-in/7240268341.html,1099,1,975.0
48,2020-12-01 19:50, (sunset / parkside),1 Bedroom Apt Near Ocean Beach and GG Park,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bedroom-apt-near-ocean/7238457403.html,1950,1,
49,2020-12-01 19:48, (mission district),DECEMBER IS ABSALUTLY FREE EFFECTIVE RENT $1495 UTILITIES PAID,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-december-is-absalutly/7234751107.html,1495,,253.0
50,2020-12-01 19:43, (pacific heights),TOP FLOOR- Large Studio,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-top-floor-large-studio/7240259292.html,1795,,
51,2020-12-01 19:38, (noe valley),*** NOE MICRO STUDIO - LOWEST RENT IN SUNNY NOE VALLEY***,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-noe-micro-studio-lowest/7240259793.html,1450,,180.0
